group_id,split,size,first_stem,last_stem
207,train,3,000015_004_00000090,000015_004_00000268
208,val,1,000015_004_suppl_00000223,000015_004_suppl_00000223
209,train,1,000015_008_00000001,000015_008_00000001
210,train,1,000015_009_00000001,000015_009_00000001
211,train,4,000016_001_00000001,000016_001_00000269
212,val,1,000016_003_suppl_00000166,000016_003_suppl_00000166
213,val,2,000016_006_00000001,000016_006_00000253
214,train,2,000016_008_00000133,000016_008_00000265
215,val,1,000016_008_suppl_00000331,000016_008_suppl_00000331
216,train,1,000016_009_00000001,000016_009_00000001
217,train,1,000016_015_00000129,000016_015_00000129
218,train,3,000016_016_00000065,000016_016_00000257
219,val,1,000016_016_suppl_00000324,000016_016_suppl_00000324
220,val,3,000016_021_00000001,000016_021_00000249
221,train,2,000016_021_suppl_00000156,000016_021_suppl_00000310
222,val,2,000016_023_00000001,000016_023_00000143
223,train,1,000016_024_suppl_00000180,000016_024_suppl_00000180
224,val,2,000016_027_00000001,000016_027_00000281
225,train,1,000016_028_00000257,000016_028_00000257
226,train,1,000016_030_00000069,000016_030_00000069
227,val,1,000016_033_00000208,000016_033_00000208
228,val,3,000016_034_00000067,000016_034_00000265
229,train,1,000016_034_suppl_00000330,000016_034_suppl_00000330
230,train,1,000016_036_suppl_00000363,000016_036_suppl_00000363
231,train,1,000016_039_00000190,000016_039_00000190
232,train,1,000016_039_suppl_00000160,000016_039_suppl_00000160
233,val,1,000016_042_00000261,000016_042_00000261
234,train,1,000016_042_suppl_00000164,000016_042_suppl_00000164
235,val,1,000016_043_00000117,000016_043_00000117
236,train,2,000016_043_suppl_00000147,000016_043_suppl_00000292
237,train,3,000016_044_00000085,000016_044_00000169
238,val,1,000017_010_00000143,000017_010_00000143
239,train,1,000017_011_00000297,000017_011_00000297
240,train,2,000017_012_00000135,000017_012_00000202
241,val,1,000017_012_suppl_00000335,000017_012_suppl_00000335
242,train,1,000017_015_00000001,000017_015_00000001
243,train,1,000017_015_suppl_00000162,000017_015_suppl_00000162
244,train,1,000017_018_suppl_00000233,000017_018_suppl_00000233
245,train,2,000017_020_00000001,000017_020_00000214
246,train,2,000017_020_suppl_00000179,000017_020_suppl_00000356
247,train,2,000017_021_00000001,000017_021_00000265
248,val,2,000017_021_suppl_00000166,000017_021_suppl_00000331
249,train,2,000018_001_00000155,000018_001_00000232
250,train,1,000018_003_suppl_00000173,000018_003_suppl_00000173
251,train,2,000018_004_00000155,000018_004_00000232
252,train,2,000018_006_00000063,000018_006_00000187
253,train,4,000018_007_00000001,000018_007_00000277
254,train,2,000018_008_00000001,000018_008_00000261
255,train,1,000019_003_00000139,000019_003_00000139
256,train,3,000019_005_00000001,000019_005_00000196
257,train,1,000019_009_00000141,000019_009_00000141
258,val,1,000019_014_00000001,000019_014_00000001
259,val,1,000019_015_00000001,000019_015_00000001
260,train,2,000019_016_00000052,000019_016_00000154
261,train,1,000019_017_00000001,000019_017_00000001
262,val,3,000019_018_00000001,000019_018_00000145
263,val,1,000019_019_00000225,000019_019_00000225
264,train,1,000019_027_00000141,000019_027_00000141
265,val,1,000019_028_00000273,000019_028_00000273
266,train,1,000019_029_00000205,000019_029_00000205
267,train,3,000019_030_00000001,000019_030_00000285
268,val,1,000019_038_00000205,000019_038_00000205
269,train,1,000019_039_00000277,000019_039_00000277
270,val,1,000019_040_00000208,000019_040_00000208
271,train,1,000019_041_00000141,000019_041_00000141
272,train,1,000019_044_00000001,000019_044_00000001
273,train,1,000019_045_00000145,000019_045_00000145
274,train,1,000020_002_00000123,000020_002_00000123
275,val,1,000020_003_00000253,000020_003_00000253
276,train,4,000020_010_00000001,000020_010_00000089
277,train,2,000020_011_00000076,000020_011_00000151
278,train,3,000020_014_00000001,000020_014_00000193
279,train,3,000020_015_00000064,000020_015_00000253
280,train,1,000020_018_00000093,000020_018_00000093
281,train,3,000021_001_00000133,000021_001_00000265
282,train,2,000021_003_00000001,000021_003_00000091
283,train,3,000021_004_00000065,000021_004_00000193
284,val,1,000021_006_00000208,000021_006_00000208
285,val,1,000021_007_00000137,000021_007_00000137
286,train,3,000021_014_00000066,000021_014_00000261
287,train,1,000021_015_00000001,000021_015_00000001
288,train,1,000021_020_00000131,000021_020_00000131
289,train,2,000021_021_00000028,000021_021_00000109
290,val,1,000021_024_00000085,000021_024_00000085
291,train,1,000022_006_00000001,000022_006_00000001
292,train,1,000022_008_00000001,000022_008_00000001
293,val,2,000022_014_00000068,000022_014_00000269
294,train,1,000022_018_00000001,000022_018_00000001
295,train,3,000023_001_00000001,000023_001_00000325
296,train,3,000023_002_00000001,000023_002_00000285
297,val,1,000023_003_00000341,000023_003_00000341
298,train,2,000023_005_00000070,000023_005_00000139
299,val,3,000023_008_00000068,000023_008_00000269
300,val,1,000023_009_00000217,000023_009_00000217
301,train,2,000023_012_00000085,000023_012_00000169
302,train,3,000032_003_00000001,000032_003_00000131
303,val,2,000032_027_00000013,000032_027_00000037
304,train,2,000032_028_00000009,000032_028_00000017
305,train,1,000032_029_00000001,000032_029_00000001
306,train,25,00000098,00000205
307,val,25,000116,000279
308,val,25,00000207,00000332
309,train,25,000281,000358
310,train,50,00000333,00000560
311,train,25,000363,000481
312,train,25,000484,000578
313,train,24,00000572,00000682
314,train,25,000580,000707
315,train,25,000708,000794
316,train,25,000795,000924
317,train,25,000926,001065
318,train,25,001069,001156
319,train,25,001157,001273
320,train,25,001275,001353
321,val,50,001356,001582
322,train,25,001589,001678
323,train,50,001683,001865
324,train,50,001873,002123
325,train,25,002132,002235
326,train,25,002243,002334
327,train,25,002338,002430
328,train,25,002432,002576
329,val,25,002579,002693
330,train,25,002704,002876
331,train,25,002877,002992
332,train,25,002996,003093
333,val,25,003096,003186
334,train,25,003192,003301
335,val,25,003304,003409
336,train,25,003411,003490
337,train,25,003515,003609
338,train,25,003613,003722
339,train,25,003723,003813
340,train,25,003815,003898
341,train,25,003900,003985
342,train,3,003987,003996
343,val,1,hehe_1_00000111,hehe_1_00000111
344,train,1,hehe_3_00000001,hehe_3_00000001
345,train,1,hehe_6_00000054,hehe_6_00000054
346,val,1,hehe_8_00000135,hehe_8_00000135
347,val,1,hehe_10_00000044,hehe_10_00000044
348,train,1,hehe_14_00000113,hehe_14_00000113
349,train,1,hehe_16_00000102,hehe_16_00000102
350,train,1,hehe_19_00000013,hehe_19_00000013
351,train,2,hehe_22_00000004,hehe_23_00000021
352,train,1,hehe_25_00000001,hehe_25_00000001
353,train,1,hehe_31_00000001,hehe_31_00000001
354,train,1,hehe_39_00000020,hehe_39_00000020
355,train,1,hehe_40_00000033,hehe_40_00000033
356,train,1,hehe_41_00000096,hehe_41_00000096
357,train,1,hehe_45_00000001,hehe_45_00000001
358,train,1,hehe_48_00000001,hehe_48_00000001
359,val,1,hehe_52_00000107,hehe_52_00000107
360,train,1,hehe_61_00000090,hehe_61_00000090
361,train,1,hehe_63_00000153,hehe_63_00000153
362,train,1,hehe_65_00000229,hehe_65_00000229
363,train,1,hehe_69_00000070,hehe_69_00000070
364,train,1,hehe_81_00000050,hehe_81_00000050
365,train,1,hehe_86_00000253,hehe_86_00000253
366,val,1,hehe_87_00000315,hehe_87_00000315
367,train,1,hehe_100_000001_049_00000001,hehe_100_000001_049_00000001
368,train,1,hehe_101_000001_049_00000022,hehe_101_000001_049_00000022
369,train,1,hehe_102_000001_049_00000043,hehe_102_000001_049_00000043
370,train,1,hehe_104_000001_050_00000172,hehe_104_000001_050_00000172
371,val,1,hehe_105_000002_001_00000201,hehe_105_000002_001_00000201
372,train,1,hehe_107_000002_001_00000101,hehe_107_000002_001_00000101
373,val,1,hehe_111_000002_003_00000001,hehe_111_000002_003_00000001
374,train,1,hehe_112_000002_003_00000082,hehe_112_000002_003_00000082
375,train,3,hehe_113_000002_003_00000163,hehe_115_000002_003_00000325
376,val,1,hehe_117_000002_004_00000049,hehe_117_000002_004_00000049
377,train,1,hehe_118_000002_004_00000097,hehe_118_000002_004_00000097
378,train,1,hehe_131_000002_007_00000001,hehe_131_000002_007_00000001
379,train,1,hehe_146_000002_010_00000166,hehe_146_000002_010_00000166
380,train,1,hehe_173_000002_024_00000105,hehe_173_000002_024_00000105
381,train,1,hehe_176_000002_025_00000001,hehe_176_000002_025_00000001
382,train,1,hehe_178_000002_025_00000079,hehe_178_000002_025_00000079
383,train,1,hehe_180_000002_025_00000157,hehe_180_000002_025_00000157
384,train,1,hehe_184_000002_027_00000109,hehe_184_000002_027_00000109
385,train,1,hehe_186_000002_028_00000050,hehe_186_000002_028_00000050
386,train,1,hehe_190_000002_029_00000072,hehe_190_000002_029_00000072
387,val,1,hehe_191_000002_029_00000143,hehe_191_000002_029_00000143
388,train,1,hehe_193_000002_029_00000285,hehe_193_000002_029_00000285
389,train,1,hehe_195_000002_030_00000057,hehe_195_000002_030_00000057
390,val,1,hehe_196_000002_030_00000113,hehe_196_000002_030_00000113
391,train,1,hehe_209_000002_033_00000133,hehe_209_000002_033_00000133
392,val,1,hehe_219_000002_039_00000185,hehe_219_000002_039_00000185
393,train,1,hehe_221_000002_041_00000050,hehe_221_000002_041_00000050
394,val,1,hehe_222_000002_041_00000099,hehe_222_000002_041_00000099
395,val,1,hehe_223_000002_041_00000148,hehe_223_000002_041_00000148
396,train,1,hehe_224_000002_041_00000197,hehe_224_000002_041_00000197
397,train,1,hehe_229_000002_043_00000001,hehe_229_000002_043_00000001
398,train,1,hehe_230_000002_043_00000061,hehe_230_000002_043_00000061
399,train,1,hehe_232_000002_043_00000181,hehe_232_000002_043_00000181
400,val,1,hehe_234_000002_044_00000055,hehe_234_000002_044_00000055
401,train,1,hehe_235_000002_044_00000109,hehe_235_000002_044_00000109
402,train,1,hehe_237_000002_044_00000217,hehe_237_000002_044_00000217
403,train,1,hehe_238_000002_045_00000001,hehe_238_000002_045_00000001
404,train,1,hehe_239_000002_045_00000050,hehe_239_000002_045_00000050
405,train,1,hehe_240_000002_045_00000099,hehe_240_000002_045_00000099
406,val,1,hehe_241_000002_045_00000148,hehe_241_000002_045_00000148
407,train,1,hehe_244_000002_047_00000062,hehe_244_000002_047_00000062
408,train,1,hehe_247_000002_047_00000245,hehe_247_000002_047_00000245
409,train,1,hehe_249_000002_048_00000061,hehe_249_000002_048_00000061
410,train,1,hehe_250_000002_048_00000121,hehe_250_000002_048_00000121
411,train,1,hehe_254_000002_049_00000071,hehe_254_000002_049_00000071
412,train,1,hehe_256_000002_049_00000211,hehe_256_000002_049_00000211
413,train,1,hehe_258_000002_050_00000066,hehe_258_000002_050_00000066
414,train,1,hehe_259_000002_050_00000131,hehe_259_000002_050_00000131
415,train,1,hehe_268_000002_058_00000051,hehe_268_000002_058_00000051
416,train,1,hehe_274_000002_060_00000105,hehe_274_000002_060_00000105
417,train,1,hehe_278_000002_066_00000050,hehe_278_000002_066_00000050
418,train,1,hehe_279_000002_066_00000099,hehe_279_000002_066_00000099
419,val,1,hehe_287_000002_070_00000130,hehe_287_000002_070_00000130
420,val,1,hehe_289_000002_071_00000001,hehe_289_000002_071_00000001
421,val,1,hehe_290_000002_071_00000051,hehe_290_000002_071_00000051
422,train,1,hehe_295_000002_072_00000189,hehe_295_000002_072_00000189
423,train,1,hehe_296_000002_074_00000001,hehe_296_000002_074_00000001
424,train,1,hehe_297_000002_074_00000075,hehe_297_000002_074_00000075
425,train,1,hehe_298_000002_074_00000223,hehe_298_000002_074_00000223
426,train,1,hehe_299_000002_074_00000297,hehe_299_000002_074_00000297
427,train,1,hehe_300_000002_076_00000001,hehe_300_000002_076_00000001
428,train,1,hehe_301_000002_076_00000042,hehe_301_000002_076_00000042
429,train,2,shuming_0_00000001,shuming_2_00000045
430,val,1,shuming_9_00000357,shuming_9_00000357
431,val,1,shuming_12_00000224,shuming_12_00000224
432,train,1,shuming_13_00000355,shuming_13_00000355
433,train,1,shuming_16_00000203,shuming_16_00000203
434,train,1,shuming_21_00000331,shuming_21_00000331
435,train,1,shuming_22_00000135,shuming_22_00000135
436,train,1,shuming_24_00000001,shuming_24_00000001
437,val,1,shuming_25_00000095,shuming_25_00000095
438,train,1,shuming_29_00000006,shuming_29_00000006
439,val,1,shuming_35_00000199,shuming_35_00000199
440,train,1,shuming_37_00000261,shuming_37_00000261
441,train,1,shuming_39_00000018,shuming_39_00000018
442,train,1,shuming_40_00000065,shuming_40_00000065
443,train,1,shuming_45_00000001,shuming_45_00000001
444,train,1,shuming_52_00000032,shuming_52_00000032
445,train,1,shuming_57_00000001,shuming_57_00000001
446,val,1,shuming_61_00000001,shuming_61_00000001
447,val,1,shuming_63_00000393,shuming_63_00000393
448,train,2,shuming_65_00000043,shuming_66_00000159
449,train,1,shuming_67_00000001,shuming_67_00000001
450,val,1,shuming_68_00000033,shuming_68_00000033
451,train,1,shuming_72_00000270,shuming_72_00000270
452,train,1,shuming_74_00000173,shuming_74_00000173
453,train,1,shuming_78_00000046,shuming_78_00000046
454,train,1,shuming_80_00000187,shuming_80_00000187
455,train,1,shuming_85_00000273,shuming_85_00000273
456,train,1,shuming_90_00000328,shuming_90_00000328
457,train,1,shuming_97_00000279,shuming_97_00000279
458,train,1,shuming_102_00000228,shuming_102_00000228
459,train,1,shuming_114_00000351,shuming_114_00000351
460,val,1,shuming_115_00000140,shuming_115_00000140
461,train,1,shuming_116_00000223,shuming_116_00000223
462,train,1,shuming_118_00000216,shuming_118_00000216
463,val,1,shuming_125_00000363,shuming_125_00000363
464,train,1,shuming_130_00000408,shuming_130_00000408
465,val,1,shuming_133_00000038,shuming_133_00000038
466,train,1,shuming_135_00000356,shuming_135_00000356
467,train,1,shuming_139_00000166,shuming_139_00000166
468,train,1,shuming_143_00000385,shuming_143_00000385
469,train,1,shuming_145_00000172,shuming_145_00000172
470,train,1,shuming_147_00000179,shuming_147_00000179
471,train,1,shuming_150_00000326,shuming_150_00000326
472,val,1,shuming_155_00000033,shuming_155_00000033
473,val,1,shuming_156_00000368,shuming_156_00000368
474,train,1,shuming_158_00000074,shuming_158_00000074
475,train,1,shuming_165_00000030,shuming_165_00000030
476,train,2,shuming_173_00000150,shuming_174_00000200
477,train,1,shuming_178_00000173,shuming_178_00000173
478,train,1,shuming_181_00000323,shuming_181_00000323
479,train,1,shuming_182_00000086,shuming_182_00000086
480,val,1,shuming_195_00000379,shuming_195_00000379
481,train,1,shuming_204_00000268,shuming_204_00000268
482,train,1,shuming_206_00000265,shuming_206_00000265
483,train,1,shuming_208_00000285,shuming_208_00000285
484,train,1,shuming_215_00000189,shuming_215_00000189
485,train,2,shuming_225_00000136,shuming_227_00000023
486,train,1,shuming_228_00000257,shuming_228_00000257
487,train,2,shuming_229_00000042,shuming_230_00000101
488,val,1,shuming_237_00000290,shuming_237_00000290
489,train,1,shuming_245_00000415,shuming_245_00000415
490,train,1,shuming_246_00000274,shuming_246_00000274
491,train,1,shuming_250_00000253,shuming_250_00000253
492,train,3,shuming_253_00000398,shuming_259_00000175
493,train,1,shuming_262_00000257,shuming_262_00000257
494,train,1,shuming_271_00000357,shuming_271_00000357
495,val,1,shuming_277_00000236,shuming_277_00000236
496,train,1,shuming_278_00000186,shuming_278_00000186
497,train,1,shuming_281_00000021,shuming_281_00000021
498,train,1,shuming_283_00000014,shuming_283_00000014
499,train,1,shuming_284_00000029,shuming_284_00000029
500,train,1,shuming_304_00000152,shuming_304_00000152
501,train,1,shuming_306_00000136,shuming_306_00000136
502,val,1,shuming_309_00000310,shuming_309_00000310
503,train,1,shuming_311_00000029,shuming_311_00000029
504,train,1,shuming_314_00000301,shuming_314_00000301
505,val,1,shuming_317_00000056,shuming_317_00000056
506,train,1,shuming_321_00000066,shuming_321_00000066
507,train,1,shuming_327_00000224,shuming_327_00000224
508,train,1,shuming_328_00000176,shuming_328_00000176
509,train,2,shuming_329_00000063,shuming_330_00000176
510,train,1,shuming_337_00000209,shuming_337_00000209
511,train,1,shuming_340_00000020,shuming_340_00000020
512,train,2,shuming_342_00000275,shuming_343_00000288
513,train,1,shuming_357_00000306,shuming_357_00000306
514,train,1,shuming_373_00000007,shuming_373_00000007
515,train,1,shuming_375_00000012,shuming_375_00000012
516,val,2,shuming_377_00000053,shuming_380_00000005
517,train,1,shuming_381_00000195,shuming_381_00000195
518,train,1,shuming_384_00000171,shuming_384_00000171
519,val,1,shuming_386_00000007,shuming_386_00000007
520,val,1,shuming_392_00000032,shuming_392_00000032
521,train,1,shuming_393_00000084,shuming_393_00000084
522,val,1,shuming_396_00000045,shuming_396_00000045
523,val,1,shuming_400_00000081,shuming_400_00000081
524,train,1,shuming_401_00000230,shuming_401_00000230
525,train,1,shuming_402_00000053,shuming_402_00000053
526,train,1,shuming_403_00000023,shuming_403_00000023
527,train,1,shuming_404_00000048,shuming_404_00000048
528,train,1,shuming_410_00000037,shuming_410_00000037
529,train,1,shuming_411_00000031,shuming_411_00000031
530,train,1,shuming_413_00000061,shuming_413_00000061
531,val,1,shuming_414_00000005,shuming_414_00000005
532,train,1,shuming_415_00000040,shuming_415_00000040
533,val,1,shuming_417_00000134,shuming_417_00000134
534,train,1,shuming_419_00000053,shuming_419_00000053
535,train,1,shuming_420_00000156,shuming_420_00000156
536,val,1,shuming_425_00000056,shuming_425_00000056
537,train,1,shuming_426_00000088,shuming_426_00000088
538,val,1,shuming_430_00000125,shuming_430_00000125
539,train,1,shuming_431_00000134,shuming_431_00000134
540,val,1,shuming_435_00000005,shuming_435_00000005
541,train,1,shuming_439_00000034,shuming_439_00000034
542,train,1,shuming_440_00000022,shuming_440_00000022
