stem,split,group_id,source,visible,infrared,depth,label,num_objects,classes
000003_029_00000084,train,13,structured_other_png,000003_029_00000084.png,000003_029_00000084.png,000003_029_00000084.png,000003_029_00000084.txt,7,6
000003_029_00000333,train,13,structured_other_png,000003_029_00000333.png,000003_029_00000333.png,000003_029_00000333.png,000003_029_00000333.txt,3,6
000003_030_00000082,val,14,structured_other_png,000003_030_00000082.png,000003_030_00000082.png,000003_030_00000082.png,000003_030_00000082.txt,3,6
000003_035_00000001,train,15,structured_other_png,000003_035_00000001.png,000003_035_00000001.png,000003_035_00000001.png,000003_035_00000001.txt,9,0;4;5;6
000003_035_00000179,train,15,structured_other_png,000003_035_00000179.png,000003_035_00000179.png,000003_035_00000179.png,000003_035_00000179.txt,7,0;4;5;6
000003_051_00000365,train,16,structured_other_png,000003_051_00000365.png,000003_051_00000365.png,000003_051_00000365.png,000003_051_00000365.txt,5,0;4;5
000003_068_00000082,val,17,structured_other_png,000003_068_00000082.png,000003_068_00000082.png,000003_068_00000082.png,000003_068_00000082.txt,11,0;6
000003_069_00000088,val,18,structured_other_png,000003_069_00000088.png,000003_069_00000088.png,000003_069_00000088.png,000003_069_00000088.txt,2,8
000003_069_00000175,val,18,structured_other_png,000003_069_00000175.png,000003_069_00000175.png,000003_069_00000175.png,000003_069_00000175.txt,2,6;8
000003_080_00000307,train,19,structured_other_png,000003_080_00000307.png,000003_080_00000307.png,000003_080_00000307.png,000003_080_00000307.txt,8,0;3
000003_080_00000409,train,19,structured_other_png,000003_080_00000409.png,000003_080_00000409.png,000003_080_00000409.png,000003_080_00000409.txt,8,0;3
000003_081_00000171,train,20,structured_other_png,000003_081_00000171.png,000003_081_00000171.png,000003_081_00000171.png,000003_081_00000171.txt,12,0;3
000003_081_00000341,train,20,structured_other_png,000003_081_00000341.png,000003_081_00000341.png,000003_081_00000341.png,000003_081_00000341.txt,11,0;3
000004,train,0,numeric_6digit_png,000004.png,000004.png,000004.png,000004.txt,4,0;3;8
00000004,train,21,numeric_8digit_jpg,00000004.jpg,00000004.jpg,00000004.jpg,00000004.txt,11,0;4;6;8;10
000004_001_00000087,train,22,structured_other_png,000004_001_00000087.png,000004_001_00000087.png,000004_001_00000087.png,000004_001_00000087.txt,1,3
000004_002_00000001,val,23,structured_other_png,000004_002_00000001.png,000004_002_00000001.png,000004_002_00000001.png,000004_002_00000001.txt,1,3
000004_002_00000084,val,23,structured_other_png,000004_002_00000084.png,000004_002_00000084.png,000004_002_00000084.png,000004_002_00000084.txt,2,0;3
000004_005_00000238,train,24,structured_other_png,000004_005_00000238.png,000004_005_00000238.png,000004_005_00000238.png,000004_005_00000238.txt,2,3
000004_009_00000001,train,25,structured_other_png,000004_009_00000001.png,000004_009_00000001.png,000004_009_00000001.png,000004_009_00000001.txt,2,0
000004_009_00000081,train,25,structured_other_png,000004_009_00000081.png,000004_009_00000081.png,000004_009_00000081.png,000004_009_00000081.txt,1,0
000004_009_00000321,train,25,structured_other_png,000004_009_00000321.png,000004_009_00000321.png,000004_009_00000321.png,000004_009_00000321.txt,1,0
000004_010_00000199,train,26,structured_other_png,000004_010_00000199.png,000004_010_00000199.png,000004_010_00000199.png,000004_010_00000199.txt,2,0
000004_011_00000001,train,27,structured_other_png,000004_011_00000001.png,000004_011_00000001.png,000004_011_00000001.png,000004_011_00000001.txt,2,4
000004_011_00000171,train,27,structured_other_png,000004_011_00000171.png,000004_011_00000171.png,000004_011_00000171.png,000004_011_00000171.txt,1,4
000004_012_00000001,train,28,structured_other_png,000004_012_00000001.png,000004_012_00000001.png,000004_012_00000001.png,000004_012_00000001.txt,6,0;4
000004_013_00000001,train,29,structured_other_png,000004_013_00000001.png,000004_013_00000001.png,000004_013_00000001.png,000004_013_00000001.txt,1,4
000004_013_00000081,train,29,structured_other_png,000004_013_00000081.png,000004_013_00000081.png,000004_013_00000081.png,000004_013_00000081.txt,2,4;6
000004_013_00000241,train,29,structured_other_png,000004_013_00000241.png,000004_013_00000241.png,000004_013_00000241.png,000004_013_00000241.txt,1,4
000004_014_00000001,train,30,structured_other_png,000004_014_00000001.png,000004_014_00000001.png,000004_014_00000001.png,000004_014_00000001.txt,1,4
000004_015_00000163,val,31,structured_other_png,000004_015_00000163.png,000004_015_00000163.png,000004_015_00000163.png,000004_015_00000163.txt,2,4
000004_018_00000341,train,32,structured_other_png,000004_018_00000341.png,000004_018_00000341.png,000004_018_00000341.png,000004_018_00000341.txt,12,0;4;8
000004_019_00000321,train,33,structured_other_png,000004_019_00000321.png,000004_019_00000321.png,000004_019_00000321.png,000004_019_00000321.txt,2,4
000004_034_00000079,train,34,structured_other_png,000004_034_00000079.png,000004_034_00000079.png,000004_034_00000079.png,000004_034_00000079.txt,2,0;4
000004_036_00000082,train,35,structured_other_png,000004_036_00000082.png,000004_036_00000082.png,000004_036_00000082.png,000004_036_00000082.txt,4,4;6
000004_036_00000244,train,35,structured_other_png,000004_036_00000244.png,000004_036_00000244.png,000004_036_00000244.png,000004_036_00000244.txt,3,4;6
000004_036_00000325,train,35,structured_other_png,000004_036_00000325.png,000004_036_00000325.png,000004_036_00000325.png,000004_036_00000325.txt,2,6
000005,train,0,numeric_6digit_png,000005.png,000005.png,000005.png,000005.txt,5,0;3;8
000005_003_00000181,train,36,structured_other_png,000005_003_00000181.png,000005_003_00000181.png,000005_003_00000181.png,000005_003_00000181.txt,6,0;5
000005_004_00000191,val,37,structured_other_png,000005_004_00000191.png,000005_004_00000191.png,000005_004_00000191.png,000005_004_00000191.txt,3,0
000005_004_00000286,val,37,structured_other_png,000005_004_00000286.png,000005_004_00000286.png,000005_004_00000286.png,000005_004_00000286.txt,5,0;9
000005_006_00000001,train,38,structured_other_png,000005_006_00000001.png,000005_006_00000001.png,000005_006_00000001.png,000005_006_00000001.txt,3,0
000005_010_00000001,val,39,structured_other_png,000005_010_00000001.png,000005_010_00000001.png,000005_010_00000001.png,000005_010_00000001.txt,1,2
000005_010_00000050,val,39,structured_other_png,000005_010_00000050.png,000005_010_00000050.png,000005_010_00000050.png,000005_010_00000050.txt,1,2
000005_011_00000421,train,40,structured_other_png,000005_011_00000421.png,000005_011_00000421.png,000005_011_00000421.png,000005_011_00000421.txt,10,0;3
000005_013_00000001,train,41,structured_other_png,000005_013_00000001.png,000005_013_00000001.png,000005_013_00000001.png,000005_013_00000001.txt,12,0;2
000005_014_00000292,train,42,structured_other_png,000005_014_00000292.png,000005_014_00000292.png,000005_014_00000292.png,000005_014_00000292.txt,7,0;2
000005_017_00000205,train,43,structured_other_png,000005_017_00000205.png,000005_017_00000205.png,000005_017_00000205.png,000005_017_00000205.txt,12,0;4;5;6;9
000005_017_00000307,train,43,structured_other_png,000005_017_00000307.png,000005_017_00000307.png,000005_017_00000307.png,000005_017_00000307.txt,13,0;4;5;9
000005_018_00000405,train,44,structured_other_png,000005_018_00000405.png,000005_018_00000405.png,000005_018_00000405.png,000005_018_00000405.txt,6,0;4
000005_019_00000105,train,45,structured_other_png,000005_019_00000105.png,000005_019_00000105.png,000005_019_00000105.png,000005_019_00000105.txt,7,0;4;5;9
000005_019_00000209,train,45,structured_other_png,000005_019_00000209.png,000005_019_00000209.png,000005_019_00000209.png,000005_019_00000209.txt,6,0;4
000005_019_00000313,train,45,structured_other_png,000005_019_00000313.png,000005_019_00000313.png,000005_019_00000313.png,000005_019_00000313.txt,9,0;4;5;9
000005_024_00000001,train,46,structured_other_png,000005_024_00000001.png,000005_024_00000001.png,000005_024_00000001.png,000005_024_00000001.txt,8,0
000005_026_00000001,train,47,structured_other_png,000005_026_00000001.png,000005_026_00000001.png,000005_026_00000001.png,000005_026_00000001.txt,5,0;6
000005_027_00000001,train,48,structured_other_png,000005_027_00000001.png,000005_027_00000001.png,000005_027_00000001.png,000005_027_00000001.txt,9,0
000005_027_00000247,train,48,structured_other_png,000005_027_00000247.png,000005_027_00000247.png,000005_027_00000247.png,000005_027_00000247.txt,8,0;5
000005_027_00000493,train,48,structured_other_png,000005_027_00000493.png,000005_027_00000493.png,000005_027_00000493.png,000005_027_00000493.txt,9,0;5;9
000005_028_00000001,train,49,structured_other_png,000005_028_00000001.png,000005_028_00000001.png,000005_028_00000001.png,000005_028_00000001.txt,3,0
000005_028_00000163,train,49,structured_other_png,000005_028_00000163.png,000005_028_00000163.png,000005_028_00000163.png,000005_028_00000163.txt,3,0
000005_029_00000191,train,50,structured_other_png,000005_029_00000191.png,000005_029_00000191.png,000005_029_00000191.png,000005_029_00000191.txt,7,0;9
000005_032_00000001,train,51,structured_other_png,000005_032_00000001.png,000005_032_00000001.png,000005_032_00000001.png,000005_032_00000001.txt,14,0;3
000005_032_00000205,train,51,structured_other_png,000005_032_00000205.png,000005_032_00000205.png,000005_032_00000205.png,000005_032_00000205.txt,13,0;3
000005_036_00000001,train,52,structured_other_png,000005_036_00000001.png,000005_036_00000001.png,000005_036_00000001.png,000005_036_00000001.txt,5,0;4
000005_036_00000108,train,52,structured_other_png,000005_036_00000108.png,000005_036_00000108.png,000005_036_00000108.png,000005_036_00000108.txt,4,4
000005_036_00000215,train,52,structured_other_png,000005_036_00000215.png,000005_036_00000215.png,000005_036_00000215.png,000005_036_00000215.txt,4,4
000005_036_00000429,train,52,structured_other_png,000005_036_00000429.png,000005_036_00000429.png,000005_036_00000429.png,000005_036_00000429.txt,4,4
000006_002_00000001,train,53,structured_other_png,000006_002_00000001.png,000006_002_00000001.png,000006_002_00000001.png,000006_002_00000001.txt,11,2
000006_002_00000102,train,53,structured_other_png,000006_002_00000102.png,000006_002_00000102.png,000006_002_00000102.png,000006_002_00000102.txt,13,2
000006_004_00000104,train,54,structured_other_png,000006_004_00000104.png,000006_004_00000104.png,000006_004_00000104.png,000006_004_00000104.txt,10,2
000006_004_00000207,train,54,structured_other_png,000006_004_00000207.png,000006_004_00000207.png,000006_004_00000207.png,000006_004_00000207.txt,10,2
000006_004_00000413,train,54,structured_other_png,000006_004_00000413.png,000006_004_00000413.png,000006_004_00000413.png,000006_004_00000413.txt,10,2
000006_005_00000295,train,55,structured_other_png,000006_005_00000295.png,000006_005_00000295.png,000006_005_00000295.png,000006_005_00000295.txt,7,2;4
000006_005_00000393,train,55,structured_other_png,000006_005_00000393.png,000006_005_00000393.png,000006_005_00000393.png,000006_005_00000393.txt,7,2;4
000006_007_00000211,train,56,structured_other_png,000006_007_00000211.png,000006_007_00000211.png,000006_007_00000211.png,000006_007_00000211.txt,2,2;4
000006_007_00000421,train,56,structured_other_png,000006_007_00000421.png,000006_007_00000421.png,000006_007_00000421.png,000006_007_00000421.txt,1,2
000006_008_00000001,train,57,structured_other_png,000006_008_00000001.png,000006_008_00000001.png,000006_008_00000001.png,000006_008_00000001.txt,5,2
000006_008_00000307,train,57,structured_other_png,000006_008_00000307.png,000006_008_00000307.png,000006_008_00000307.png,000006_008_00000307.txt,2,2
000006_009_00000089,train,58,structured_other_png,000006_009_00000089.png,000006_009_00000089.png,000006_009_00000089.png,000006_009_00000089.txt,3,2
000006_010_00000292,val,59,structured_other_png,000006_010_00000292.png,000006_010_00000292.png,000006_010_00000292.png,000006_010_00000292.txt,5,1;2
000006_010_00000389,val,59,structured_other_png,000006_010_00000389.png,000006_010_00000389.png,000006_010_00000389.png,000006_010_00000389.txt,6,1;2
000006_011_00000307,val,60,structured_other_png,000006_011_00000307.png,000006_011_00000307.png,000006_011_00000307.png,000006_011_00000307.txt,8,0;1;2
000006_011_00000409,val,60,structured_other_png,000006_011_00000409.png,000006_011_00000409.png,000006_011_00000409.png,000006_011_00000409.txt,11,0;1;2
000006_012_00000001,train,61,structured_other_png,000006_012_00000001.png,000006_012_00000001.png,000006_012_00000001.png,000006_012_00000001.txt,13,0;2;9
000006_013_00000001,train,62,structured_other_png,000006_013_00000001.png,000006_013_00000001.png,000006_013_00000001.png,000006_013_00000001.txt,8,1;2
000006_014_00000409,train,63,structured_other_png,000006_014_00000409.png,000006_014_00000409.png,000006_014_00000409.png,000006_014_00000409.txt,15,0;1;2
000006_015_00000329,train,64,structured_other_png,000006_015_00000329.png,000006_015_00000329.png,000006_015_00000329.png,000006_015_00000329.txt,11,1;2;9
000007_004_00000433,train,65,structured_other_png,000007_004_00000433.png,000007_004_00000433.png,000007_004_00000433.png,000007_004_00000433.txt,2,0;11
000007_007_00000038,train,66,structured_other_png,000007_007_00000038.png,000007_007_00000038.png,000007_007_00000038.png,000007_007_00000038.txt,4,4;6;9
000007_011_00000501,val,67,structured_other_png,000007_011_00000501.png,000007_011_00000501.png,000007_011_00000501.png,000007_011_00000501.txt,6,4;5;6;8
000007_015_00000209,train,68,structured_other_png,000007_015_00000209.png,000007_015_00000209.png,000007_015_00000209.png,000007_015_00000209.txt,1,6
000007_015_00000313,train,68,structured_other_png,000007_015_00000313.png,000007_015_00000313.png,000007_015_00000313.png,000007_015_00000313.txt,4,0;4;6
00000008,train,21,numeric_8digit_jpg,00000008.jpg,00000008.jpg,00000008.jpg,00000008.txt,9,4;6;8;10
000008_003_00000001,val,69,structured_other_png,000008_003_00000001.png,000008_003_00000001.png,000008_003_00000001.png,000008_003_00000001.txt,5,0;2;8
000008_003_00000235,val,69,structured_other_png,000008_003_00000235.png,000008_003_00000235.png,000008_003_00000235.png,000008_003_00000235.txt,13,0;2;8
000008_003_00000352,val,69,structured_other_png,000008_003_00000352.png,000008_003_00000352.png,000008_003_00000352.png,000008_003_00000352.txt,14,0;2;8;9
000008_003_00000469,val,69,structured_other_png,000008_003_00000469.png,000008_003_00000469.png,000008_003_00000469.png,000008_003_00000469.txt,11,0;2;8
000008_004_00000001,train,70,structured_other_png,000008_004_00000001.png,000008_004_00000001.png,000008_004_00000001.png,000008_004_00000001.txt,13,0;2;8;9
000008_004_00000167,train,70,structured_other_png,000008_004_00000167.png,000008_004_00000167.png,000008_004_00000167.png,000008_004_00000167.txt,7,0;2;8;9
000008_004_00000665,train,70,structured_other_png,000008_004_00000665.png,000008_004_00000665.png,000008_004_00000665.png,000008_004_00000665.txt,14,0;2;9
000008_005_00000167,train,71,structured_other_png,000008_005_00000167.png,000008_005_00000167.png,000008_005_00000167.png,000008_005_00000167.txt,2,0;2
000008_005_00000333,train,71,structured_other_png,000008_005_00000333.png,000008_005_00000333.png,000008_005_00000333.png,000008_005_00000333.txt,2,0
000008_005_00000665,train,71,structured_other_png,000008_005_00000665.png,000008_005_00000665.png,000008_005_00000665.png,000008_005_00000665.txt,1,2
000008_007_00000868,train,72,structured_other_png,000008_007_00000868.png,000008_007_00000868.png,000008_007_00000868.png,000008_007_00000868.txt,3,2
000008_012_00000001,train,73,structured_other_png,000008_012_00000001.png,000008_012_00000001.png,000008_012_00000001.png,000008_012_00000001.txt,4,0;2
000008_012_00000151,train,73,structured_other_png,000008_012_00000151.png,000008_012_00000151.png,000008_012_00000151.png,000008_012_00000151.txt,7,0;2
000008_013_00000195,train,74,structured_other_png,000008_013_00000195.png,000008_013_00000195.png,000008_013_00000195.png,000008_013_00000195.txt,3,0;2
000008_017_00000001,train,75,structured_other_png,000008_017_00000001.png,000008_017_00000001.png,000008_017_00000001.png,000008_017_00000001.txt,5,2
000008_021_00000415,train,76,structured_other_png,000008_021_00000415.png,000008_021_00000415.png,000008_021_00000415.png,000008_021_00000415.txt,7,0;2
000008_032_00000001,train,77,structured_other_png,000008_032_00000001.png,000008_032_00000001.png,000008_032_00000001.png,000008_032_00000001.txt,1,2
000008_033_00000001,val,78,structured_other_png,000008_033_00000001.png,000008_033_00000001.png,000008_033_00000001.png,000008_033_00000001.txt,4,2
000008_033_00000076,val,78,structured_other_png,000008_033_00000076.png,000008_033_00000076.png,000008_033_00000076.png,000008_033_00000076.txt,4,2
000008_035_00000001,train,79,structured_other_png,000008_035_00000001.png,000008_035_00000001.png,000008_035_00000001.png,000008_035_00000001.txt,1,2
000008_035_00000108,train,79,structured_other_png,000008_035_00000108.png,000008_035_00000108.png,000008_035_00000108.png,000008_035_00000108.txt,1,2
000008_035_00000429,train,79,structured_other_png,000008_035_00000429.png,000008_035_00000429.png,000008_035_00000429.png,000008_035_00000429.txt,1,2
000008_037_00000453,train,80,structured_other_png,000008_037_00000453.png,000008_037_00000453.png,000008_037_00000453.png,000008_037_00000453.txt,1,2
000008_039_00000214,train,81,structured_other_png,000008_039_00000214.png,000008_039_00000214.png,000008_039_00000214.png,000008_039_00000214.txt,4,0;2
000008_040_00000304,train,82,structured_other_png,000008_040_00000304.png,000008_040_00000304.png,000008_040_00000304.png,000008_040_00000304.txt,2,2
000008_042_00000273,train,83,structured_other_png,000008_042_00000273.png,000008_042_00000273.png,000008_042_00000273.png,000008_042_00000273.txt,3,0;2
000008_043_00000001,train,84,structured_other_png,000008_043_00000001.png,000008_043_00000001.png,000008_043_00000001.png,000008_043_00000001.txt,6,0;2
000008_045_00000001,train,85,structured_other_png,000008_045_00000001.png,000008_045_00000001.png,000008_045_00000001.png,000008_045_00000001.txt,4,2
000008_045_00000157,train,85,structured_other_png,000008_045_00000157.png,000008_045_00000157.png,000008_045_00000157.png,000008_045_00000157.txt,5,2
000008_046_00000157,val,86,structured_other_png,000008_046_00000157.png,000008_046_00000157.png,000008_046_00000157.png,000008_046_00000157.txt,2,2
000008_047_00000001,train,87,structured_other_png,000008_047_00000001.png,000008_047_00000001.png,000008_047_00000001.png,000008_047_00000001.txt,3,2
000008_047_00000112,train,87,structured_other_png,000008_047_00000112.png,000008_047_00000112.png,000008_047_00000112.png,000008_047_00000112.txt,3,2
000008_047_00000149,train,87,structured_other_png,000008_047_00000149.png,000008_047_00000149.png,000008_047_00000149.png,000008_047_00000149.txt,3,2
000008_048_00000361,val,88,structured_other_png,000008_048_00000361.png,000008_048_00000361.png,000008_048_00000361.png,000008_048_00000361.txt,6,2
000009_008_00000241,train,89,structured_other_png,000009_008_00000241.png,000009_008_00000241.png,000009_008_00000241.png,000009_008_00000241.txt,10,0
000009_011_00000087,train,90,structured_other_png,000009_011_00000087.png,000009_011_00000087.png,000009_011_00000087.png,000009_011_00000087.txt,18,0;2
000009_012_00000083,val,91,structured_other_png,000009_012_00000083.png,000009_012_00000083.png,000009_012_00000083.png,000009_012_00000083.txt,10,0;2
000009_020_00000325,val,92,structured_other_png,000009_020_00000325.png,000009_020_00000325.png,000009_020_00000325.png,000009_020_00000325.txt,7,0
000009_022_00000247,train,93,structured_other_png,000009_022_00000247.png,000009_022_00000247.png,000009_022_00000247.png,000009_022_00000247.txt,13,0;2;4;8
000009_032_00000141,train,94,structured_other_png,000009_032_00000141.png,000009_032_00000141.png,000009_032_00000141.png,000009_032_00000141.txt,6,0;3
000009_033_00000250,train,95,structured_other_png,000009_033_00000250.png,000009_033_00000250.png,000009_033_00000250.png,000009_033_00000250.txt,5,0;5
000009_033_00000333,train,95,structured_other_png,000009_033_00000333.png,000009_033_00000333.png,000009_033_00000333.png,000009_033_00000333.txt,7,0;3;5
000009_034_00000179,train,96,structured_other_png,000009_034_00000179.png,000009_034_00000179.png,000009_034_00000179.png,000009_034_00000179.txt,8,0;3;5
000009_034_00000268,train,96,structured_other_png,000009_034_00000268.png,000009_034_00000268.png,000009_034_00000268.png,000009_034_00000268.txt,7,0;5
000009_036_00000051,val,97,structured_other_png,000009_036_00000051.png,000009_036_00000051.png,000009_036_00000051.png,000009_036_00000051.txt,9,0;5;6;8;9
000009_038_00000026,train,98,structured_other_png,000009_038_00000026.png,000009_038_00000026.png,000009_038_00000026.png,000009_038_00000026.txt,7,0;3
000009_038_00000076,train,98,structured_other_png,000009_038_00000076.png,000009_038_00000076.png,000009_038_00000076.png,000009_038_00000076.txt,7,0;3
000009_040_00000101,val,99,structured_other_png,000009_040_00000101.png,000009_040_00000101.png,000009_040_00000101.png,000009_040_00000101.txt,12,0;5;6;8
000010_006_00000185,train,100,structured_other_png,000010_006_00000185.png,000010_006_00000185.png,000010_006_00000185.png,000010_006_00000185.txt,9,0;9
000010_006_00000369,train,100,structured_other_png,000010_006_00000369.png,000010_006_00000369.png,000010_006_00000369.png,000010_006_00000369.txt,8,0;5
000010_008_00000102,train,101,structured_other_png,000010_008_00000102.png,000010_008_00000102.png,000010_008_00000102.png,000010_008_00000102.txt,17,0
000010_008_00000203,train,101,structured_other_png,000010_008_00000203.png,000010_008_00000203.png,000010_008_00000203.png,000010_008_00000203.txt,13,0
000010_015_00000237,train,102,structured_other_png,000010_015_00000237.png,000010_015_00000237.png,000010_015_00000237.png,000010_015_00000237.txt,1,0
000010_016_00000189,val,103,structured_other_png,000010_016_00000189.png,000010_016_00000189.png,000010_016_00000189.png,000010_016_00000189.txt,1,0
000010_016_00000283,val,103,structured_other_png,000010_016_00000283.png,000010_016_00000283.png,000010_016_00000283.png,000010_016_00000283.txt,6,0
000011_001_00000001,val,104,structured_other_png,000011_001_00000001.png,000011_001_00000001.png,000011_001_00000001.png,000011_001_00000001.txt,3,0;3
000011_002_00000001,train,105,structured_other_png,000011_002_00000001.png,000011_002_00000001.png,000011_002_00000001.png,000011_002_00000001.txt,3,5;6
000011_002_00000085,train,105,structured_other_png,000011_002_00000085.png,000011_002_00000085.png,000011_002_00000085.png,000011_002_00000085.txt,5,5;6;11
000011_003_00000001,train,106,structured_other_png,000011_003_00000001.png,000011_003_00000001.png,000011_003_00000001.png,000011_003_00000001.txt,1,3
000011_003_00000286,train,106,structured_other_png,000011_003_00000286.png,000011_003_00000286.png,000011_003_00000286.png,000011_003_00000286.txt,2,3
000011_003_00000381,train,106,structured_other_png,000011_003_00000381.png,000011_003_00000381.png,000011_003_00000381.png,000011_003_00000381.txt,2,3
000011_004_00000086,train,107,structured_other_png,000011_004_00000086.png,000011_004_00000086.png,000011_004_00000086.png,000011_004_00000086.txt,2,3
000011_006_00000001,train,108,structured_other_png,000011_006_00000001.png,000011_006_00000001.png,000011_006_00000001.png,000011_006_00000001.txt,5,0;3
000011_006_00000256,train,108,structured_other_png,000011_006_00000256.png,000011_006_00000256.png,000011_006_00000256.png,000011_006_00000256.txt,6,0;3
000011_008_00000001,train,109,structured_other_png,000011_008_00000001.png,000011_008_00000001.png,000011_008_00000001.png,000011_008_00000001.txt,5,0;3
000011_008_00000083,train,109,structured_other_png,000011_008_00000083.png,000011_008_00000083.png,000011_008_00000083.png,000011_008_00000083.txt,7,0;3
000011_012_00000280,train,110,structured_other_png,000011_012_00000280.png,000011_012_00000280.png,000011_012_00000280.png,000011_012_00000280.txt,2,0;3
000011_015_00000244,val,111,structured_other_png,000011_015_00000244.png,000011_015_00000244.png,000011_015_00000244.png,000011_015_00000244.txt,1,3
000011_017_00000253,val,112,structured_other_png,000011_017_00000253.png,000011_017_00000253.png,000011_017_00000253.png,000011_017_00000253.txt,2,3
000011_018_00000337,train,113,structured_other_png,000011_018_00000337.png,000011_018_00000337.png,000011_018_00000337.png,000011_018_00000337.txt,2,3
000011_019_00000165,train,114,structured_other_png,000011_019_00000165.png,000011_019_00000165.png,000011_019_00000165.png,000011_019_00000165.txt,6,0;5;6;9
000011_020_00000179,train,115,structured_other_png,000011_020_00000179.png,000011_020_00000179.png,000011_020_00000179.png,000011_020_00000179.txt,21,0;4;5;8
000011_027_00000001,train,116,structured_other_png,000011_027_00000001.png,000011_027_00000001.png,000011_027_00000001.png,000011_027_00000001.txt,2,3
000011_039_00000247,train,117,structured_other_png,000011_039_00000247.png,000011_039_00000247.png,000011_039_00000247.png,000011_039_00000247.txt,2,3
000012_003_00000226,val,118,structured_other_png,000012_003_00000226.png,000012_003_00000226.png,000012_003_00000226.png,000012_003_00000226.txt,3,2
000012_003_00000301,val,118,structured_other_png,000012_003_00000301.png,000012_003_00000301.png,000012_003_00000301.png,000012_003_00000301.txt,3,2
000012_004_00000083,train,119,structured_other_png,000012_004_00000083.png,000012_004_00000083.png,000012_004_00000083.png,000012_004_00000083.txt,5,2
000012_004_00000329,train,119,structured_other_png,000012_004_00000329.png,000012_004_00000329.png,000012_004_00000329.png,000012_004_00000329.txt,4,2
000012_005_00000001,train,120,structured_other_png,000012_005_00000001.png,000012_005_00000001.png,000012_005_00000001.png,000012_005_00000001.txt,2,2
000012_008_00000163,val,121,structured_other_png,000012_008_00000163.png,000012_008_00000163.png,000012_008_00000163.png,000012_008_00000163.txt,15,2
000012_009_00000163,train,122,structured_other_png,000012_009_00000163.png,000012_009_00000163.png,000012_009_00000163.png,000012_009_00000163.txt,12,2
000012_009_00000244,train,122,structured_other_png,000012_009_00000244.png,000012_009_00000244.png,000012_009_00000244.png,000012_009_00000244.txt,15,2
